api_key,app_name,app_store_url,app_details,app_submission_created_at,integrations,integration_count
7260973,autoSchema,https://apps.shopify.com/autoschema-google-structures,"autoSchema adds and updates Google structured data automatically for Shopify, improving SEO and search visibility without technical expertise. One-click setup!",2025-04-21 21:30:34+00:00,"['Google Structured Data', 'Schemas', 'Json-Ld']",3
6646621,GDPR ‑ Customer Accounts - GDPR  compliance in customer account,https://apps.shopify.com/gdpr-customer-data-compliance,"Give customers control over data privacy.
Add a deletion button where you want on the customer account page and adapt it to your theme.",2025-04-21 21:30:41+00:00,"['Shopify Checkout', 'Customer Accounts']",2
2724971,Pimcore PIM Connector - Pimcore connector by Hamari,https://apps.shopify.com/pimcore-connector-by-hamari,"Automate data transfer, eliminate silos, and enhance efficiency with the Pimcore connector. Sync high-quality product data from Pimcore to Shopify seamlessly.",2025-04-21 21:30:58+00:00,['Pimcore'],1
4252165,Deck Commerce Order Management - Simplify & automate processing throughout the order lifecycle.,https://apps.shopify.com/deckcommerce,Deck Commerce Order Management System (OMS) automates direct-to-consumer operations through the entire lifecycle of an order—from storefront to fro...,2025-04-21 21:31:20+00:00,"['Avalara', 'Narvar', 'Channel Advisor', 'Yotpo', 'Clutch', 'Signifyd']",6
4425153,BIRSE: Visual Search - AI Product Image Search and precise product recommendations.,https://apps.shopify.com/birse-visual-search,"BIRSE: Visual Search offers in-site image search and product recommendations. When the users browse, it predicts their shopping intent, suggesting ...",2025-04-21 21:31:36+00:00,['Shopify Checkout'],1
9379938,Drop: Instagram DM Marketing - Drop - Instagram DM Automation for Engagement & Growth,https://apps.shopify.com/drop-social,"Transform your Instagram DMs into powerful engagement tools. Automate messages, build subscribers, and grow your business with AI-driven campaigns. Try Drop!",2025-04-21 21:32:02+00:00,"['Instagram', 'Meta', 'Google Analytics']",3
3094383,DCL Logistics and Fulfillment  - Best-in-class fulfillment for high-growth brands,https://apps.shopify.com/dcl-fulfillment,This app allows merchants to send DCL Logistics orders in real time to ensure quick shipping across 6 facilities in the US....,2025-04-21 21:32:12+00:00,"['Amazon', 'Target', 'Netsuite', 'Skubana', 'Bigcommerce', 'Woocommerce']",6
1675220,Vinologix Shipper - Vinologix Ship,https://apps.shopify.com/vinologix-shipper,Carefree beverage logistics,2025-04-21 21:32:20+00:00,"['Dpd', 'Yeshugo']",2
7320208,XB Checkout Rules - XB Checkout Rules – Customize Shipping and Payment Options,https://apps.shopify.com/xb-checkout-rules,"XB Checkout Rules lets you reorder, rename, or hide shipping and payment methods at checkout based on custom rules, enhancing the customer experience.",2025-04-21 21:32:27+00:00,['Shopify Checkout'],1
8802440,Hura Album: FB Photo Gallery - Embedding Facebook photo albums in your store,https://apps.shopify.com/facebook-album-by-anh-kiet,Hura Album is designed to help you show your Facebook albums on your online store. You can show the album on a page as a gallery or slideshow and y...,2025-04-21 21:32:34+00:00,['Facebook'],1
6278913,ISHIPPING - Multicarrier Shipping platform for e-Commerce and Marketplaces,https://apps.shopify.com/ishipping,"ISHIPPING provides reliable and affordable international and domestic courier services to businesses, online stores, and individuals throughout New...",2025-04-21 21:32:58+00:00,"['Nzpost', 'Dhl']",2
6344131,Prediko Inventory Management - #1 Shopify Inventory Management App,https://apps.shopify.com/prediko,"All-in-one inventory management solution. Restock on time, every time. Forecast with Prediko's AI, streamline inventory and manage purchase orders.",2025-04-21 21:33:21+00:00,"['3Pl & Wms Integrations', 'Inventory Forecast', 'Inventory Tracking', 'Inventory Management', 'Sales Reports', 'Multi Store & Location']",6
2858963,DigThisData - Reporting and Management for Alcohol Vendors,https://apps.shopify.com/digthisdata-1,"DigThisData is the leading Sales Cycle Management tool for alcohol vendors. By integrating Shopify, DigThisData users can manage all orders from al...",2025-04-21 21:33:28+00:00,['Digthisdata'],1
